iter	RMSE
0	0.9519357707
1	0.9399874786
2	0.9286371321
3	0.9187417657
4	0.9086134165
5	0.8976284185
6	0.8866304888
7	0.876791639
8	0.8679022152
9	0.8588610197
10	0.8506351295
11	0.8402850883
12	0.8312206093
13	0.8232684086
14	0.814428885
15	0.8064090525
16	0.798558884
17	0.7908952754
18	0.7838559991
19	0.7765697298
20	0.7700088261
21	0.7624961262
22	0.7558230006
23	0.7498671756
24	0.7435928486
25	0.7370491323
26	0.7308887359
27	0.7246072843
28	0.7193978097
29	0.7139281823
30	0.7085365187
31	0.7033964721
32	0.6986135538
33	0.6936894435
34	0.6888037348
35	0.683706426
36	0.6789775568
37	0.6750166811
38	0.6703117828
39	0.6656030097
40	0.6614478976
41	0.6571482804
42	0.6526106155
43	0.6490560091
44	0.6454704783
45	0.6415109981
46	0.6377100326
47	0.6342881435
48	0.6306302782
49	0.6269167408
50	0.62317681
51	0.6197839079
52	0.6159011645
53	0.6120758034
54	0.6090606367
55	0.6059097855
56	0.6026600295
57	0.5994157342
58	0.5965860785
59	0.5935270956
60	0.5909450032
61	0.5889875889
62	0.5867494652
63	0.5840374317
64	0.5815161809
65	0.5788389949
66	0.5764898197
67	0.5743447081
68	0.5717359832
69	0.5686671267
70	0.565550984
71	0.5629151124
72	0.5609069549
73	0.5587261151
74	0.5566996311
75	0.5541030104
76	0.551775554
77	0.5495708401
78	0.5478206978
79	0.5458199442
80	0.5444229562
81	0.542654343
82	0.5404282873
83	0.5387737169
84	0.5369228391
85	0.5349368094
86	0.5334519719
87	0.5314716268
88	0.5295886543
89	0.5277962936
90	0.5264321367
91	0.5245408908
92	0.5229313918
93	0.5211317428
94	0.5199780141
95	0.5182594754
96	0.5167348768
97	0.5152006936
98	0.5137429459
99	0.5122519058
100	0.5108862295
101	0.5093239838
102	0.5079963366
103	0.5066144295
104	0.5049194282
105	0.50358247
106	0.5021842386
107	0.5007089463
108	0.499650528
109	0.498296125
110	0.4973084151
111	0.4958421779
112	0.4946180384
113	0.4935882185
114	0.492347336
115	0.4905733885
116	0.4892082783
117	0.4882671698
118	0.4869828562
119	0.4857395726
120	0.4847780825
121	0.4828599816
122	0.4817711884
123	0.4808481452
124	0.4794573499
125	0.4785585729
126	0.4772311531
127	0.4759420436
128	0.4745187218
129	0.4734251865
130	0.4723674522
131	0.4709705222
132	0.4702820404
133	0.4693439751
134	0.4685156716
135	0.4673845912
136	0.4665559025
137	0.4654792315
138	0.4639968643
139	0.4631640599
140	0.462037287
141	0.4609855028
142	0.4600866345
143	0.4589605716
144	0.4580382956
145	0.4565832743
146	0.4554220952
147	0.4543642709
